kind,ms,raw,min,max,range,rail_low,rail_high,status,label,placement,connected,recording,event,detail
event,0,,,,,,,MOVING,finger_connected,finger,1,recording,start,finger_connected
siglab,20,335,335,335,0,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,40,194,194,335,141,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,60,76,76,335,259,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,80,78,76,335,259,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,100,99,76,335,259,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,120,188,76,335,259,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,145,343,76,343,267,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,165,407,76,407,331,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,185,452,76,452,376,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,205,499,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,225,482,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,245,482,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,265,451,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,285,377,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,305,380,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,325,349,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,345,324,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,365,309,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,395,308,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,415,285,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,435,283,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,455,373,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,475,491,76,499,423,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,495,728,76,728,652,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,515,959,76,959,883,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,535,1001,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,555,982,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,575,999,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,595,982,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,615,989,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,645,852,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,665,623,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,685,381,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,705,243,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,725,139,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,745,105,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,765,136,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,785,181,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,805,294,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,825,374,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,845,459,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,865,470,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,895,504,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,915,452,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,935,400,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,955,397,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,975,364,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,995,336,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1015,316,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1035,247,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1055,317,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1075,304,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1095,318,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1115,360,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1145,570,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1165,791,76,1001,925,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1185,1002,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1205,987,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1225,988,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1245,988,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1265,995,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1285,985,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1305,990,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
siglab,1325,868,76,1002,926,0,0,FLOATING,finger_connected,finger,1,recording,,
