kind,ms,raw,min,max,range,rail_low,rail_high,status,label,placement,connected,recording,event,detail
event,0,,,,,,,NO SENSOR,none_unplugged,none,0,recording,start,none_unplugged
siglab,20,0,0,0,0,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,40,0,0,0,0,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,60,0,0,0,0,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,80,0,0,0,0,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,100,0,0,0,0,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,131,9,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,151,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,171,5,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,191,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,211,3,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,231,7,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,251,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,271,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,291,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,311,0,0,9,9,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,331,15,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,351,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,381,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,401,10,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,421,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,441,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,461,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,481,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,501,13,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,521,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,541,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,561,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,581,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,601,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,631,8,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,651,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,671,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,691,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,711,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,731,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,751,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,771,5,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,791,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,811,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,831,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,851,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,881,10,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,901,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,921,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,941,2,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,961,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,981,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1001,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1021,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1041,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1061,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1081,10,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1101,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1131,10,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1151,12,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1171,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1191,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1211,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1231,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1251,4,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1271,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1291,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1311,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1331,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
siglab,1351,0,0,15,15,1,0,NO SENSOR,none_unplugged,none,0,recording,,
